skin_isim;bynogame_fiyat_tl;son_hafta_satılan;son_2_hafta_satılan;son_1_ay_satılan;son_2_ay_satılan;son_3_ay_satılan;son_hafta_ortalama_fiyat;son_2_hafta_ortalama_fiyat;son_1_ay_ortalama_fiyat;son_2_ay_ortalama_fiyat;son_3_ay_ortalama_fiyat
★ Kukri Knife | Stained (Field-Tested);7.000;-;-;2;3;3;;;7100 ₺;7400 ₺;7400 ₺
StatTrak™ AWP | Chrome Cannon (Minimal Wear);5.311;-;-;-;1;3;;;-;4950 ₺;4892 ₺
StatTrak™ USP-S | Jawbreaker (Factory New);2.411;-;-;-;-;-;;;-;;
StatTrak™ SSG 08 | Dezastre (Factory New);80;2;3;3;5;8;90 ₺;100 ₺;100 ₺;97 ₺;99 ₺
★ Kukri Knife | Forest DDPAT (Well-Worn);5.481;-;-;-;-;-;;;-;;
StatTrak™ Five-SeveN | Hybrid (Battle-Scarred);65;-;-;1;1;1;;;40 ₺;40 ₺;40 ₺
StatTrak™ USP-S | Jawbreaker (Battle-Scarred);476;-;-;-;3;5;;;-;470 ₺;407 ₺
★ StatTrak™ Kukri Knife | Night Stripe (Minimal Wear);7.400;-;-;-;-;1;;;-;;
★ Kukri Knife | Case Hardened (Well-Worn);9.949;1;2;3;4;4;8470 ₺;7860 ₺;7707 ₺;8280 ₺;8280 ₺
StatTrak™ Zeus x27 | Olympus (Field-Tested);650;-;-;-;3;8;;;-;733 ₺;662 ₺
StatTrak™ Glock-18 | Block-18 (Factory New);281;2;2;2;4;10;276 ₺;276 ₺;276 ₺;250 ₺;243 ₺
StatTrak™ M4A1-S | Black Lotus (Factory New);3.030;-;2;3;6;8;;2639 ₺;2676 ₺;2348 ₺;2181 ₺
StatTrak™ Sawed-Off | Analog Input (Battle-Scarred);77;-;-;-;-;-;;;-;;
StatTrak™ M4A4 | Etch Lord (Battle-Scarred);65;2;2;2;2;3;45 ₺;45 ₺;45 ₺;45 ₺;44 ₺
StatTrak™ Five-SeveN | Hybrid (Minimal Wear);133;-;1;2;2;5;;135 ₺;118 ₺;118 ₺;117 ₺
StatTrak™ Five-SeveN | Hybrid (Field-Tested);72;-;-;1;1;2;;;60 ₺;60 ₺;65 ₺
StatTrak™ M4A4 | Etch Lord (Factory New);270;1;2;3;4;5;200 ₺;175 ₺;192 ₺;256 ₺;254 ₺
StatTrak™ MP7 | Just Smile (Minimal Wear);138;2;2;2;4;7;124 ₺;124 ₺;124 ₺;105 ₺;120 ₺
AK-47 | Inheritance (Well-Worn);2.750;2;3;7;10;15;2279 ₺;2436 ₺;2379 ₺;2350 ₺;2128 ₺
StatTrak™ XM1014 | Irezumi (Factory New);41;-;-;2;5;7;;;50 ₺;44 ₺;44 ₺
Zeus x27 | Olympus (Battle-Scarred);195;1;1;4;9;9;179 ₺;179 ₺;172 ₺;182 ₺;182 ₺
★ Kukri Knife | Case Hardened (Minimal Wear);13.287;-;-;-;-;1;;;-;;
StatTrak™ Glock-18 | Block-18 (Well-Worn);100;-;-;-;3;3;;;-;94 ₺;94 ₺
StatTrak™ USP-S | Jawbreaker (Minimal Wear);1.000;-;-;3;7;7;;;1009 ₺;1005 ₺;1005 ₺
StatTrak™ M4A4 | Etch Lord (Field-Tested);74;2;4;9;9;13;74 ₺;72 ₺;68 ₺;68 ₺;67 ₺
M4A4 | Etch Lord (Minimal Wear);53;1;2;6;17;25;45 ₺;50 ₺;54 ₺;51 ₺;51 ₺
StatTrak™ Sawed-Off | Analog Input (Minimal Wear);129;-;1;2;2;2;;100 ₺;106 ₺;106 ₺;106 ₺
AWP | Chrome Cannon (Battle-Scarred);832;5;8;14;26;34;764 ₺;783 ₺;749 ₺;769 ₺;782 ₺
M4A1-S | Black Lotus (Factory New);999;2;8;16;32;46;905 ₺;925 ₺;905 ₺;892 ₺;849 ₺
StatTrak™ Sawed-Off | Analog Input (Field-Tested);77;-;-;1;5;6;;;57 ₺;59 ₺;58 ₺
USP-S | Jawbreaker (Factory New);700;3;7;11;23;35;678 ₺;744 ₺;746 ₺;708 ₺;685 ₺
StatTrak™ Sawed-Off | Analog Input (Factory New);244;-;-;1;1;1;;;221 ₺;221 ₺;221 ₺
StatTrak™ UMP-45 | Motorized (Factory New);39;1;3;5;7;11;36 ₺;37 ₺;37 ₺;37 ₺;37 ₺
★ Kukri Knife | Boreal Forest (Minimal Wear);5.948;-;1;1;1;2;;6300 ₺;6300 ₺;6300 ₺;6440 ₺
★ Kukri Knife | Night Stripe (Minimal Wear);7.864;-;-;-;1;1;;;-;7739 ₺;7739 ₺
Sawed-Off | Analog Input (Well-Worn);31;-;-;-;-;1;;;-;;
★ Kukri Knife | Urban Masked (Well-Worn);5.038;-;-;-;2;3;;;-;4500 ₺;4733 ₺
MP7 | Just Smile (Minimal Wear);56;3;4;11;24;33;70 ₺;64 ₺;57 ₺;53 ₺;52 ₺
StatTrak™ Tec-9 | Slag (Factory New);69;-;-;-;3;4;;;-;44 ₺;44 ₺
Five-SeveN | Hybrid (Field-Tested);30;2;4;4;5;12;28 ₺;26 ₺;26 ₺;28 ₺;31 ₺
StatTrak™ Nova | Dark Sigil (Factory New);30;1;2;2;3;4;31 ₺;32 ₺;32 ₺;31 ₺;31 ₺
M4A4 | Etch Lord (Factory New);115;1;2;3;7;9;141 ₺;117 ₺;108 ₺;109 ₺;106 ₺
StatTrak™ M4A1-S | Black Lotus (Minimal Wear);1.355;-;-;1;5;9;;;1380 ₺;1252 ₺;1201 ₺
